scorer,seeds,top25_mean,top25_std,top25_min,top25_max,auc_mean,val_spearman_mean,test_spearman_mean
knn_q90_risk,3,0.16743014256159464,0.016088195079386275,0.1494288444519043,0.1804050803184509,0.11871719857056932,-0.31274068697455476,-0.1321685163004117
gbdt_risk,3,0.1074246764183044,0.04703141132671564,0.0611945986747741,0.1552184224128723,0.0691872338453928,-0.5961314503390615,-0.027696663439465297
knn_mean_risk,3,0.08315988381703694,0.03243999863942006,0.0534963011741638,0.1178009510040283,0.044955025116602536,-0.27202313255230387,0.029556117569626967
full_ridge_risk,3,0.047012150287628125,0.03644717227349878,0.0073834061622619,0.0790971517562866,0.0160662680864334,-0.368500706002824,-0.010357666357666336
PARR_plus_strong_rank,3,0.03404130538304643,0.04295817146479255,-0.0152074098587036,0.0637966990470886,0.05673975249131517,-0.5370951403805615,-0.011938543938543933
mlp_risk,3,0.03078403075536094,0.09889409943669555,-0.0566790103912353,0.1380978226661682,0.0227340112129847,-0.4204351857407429,-0.0031226271226270975
mahalanobis_ood,3,0.021505077679952037,0.06937287834242237,-0.0298883914947509,0.1004148721694946,0.013671581943829869,0.1461060884243536,-0.054235442235442195
random,3,-0.006408194700876867,0.04302709805027538,-0.04038667678833,0.0419725775718688,-0.0009608666102091332,,-0.0014033414033413998
pca_reconstruction_ood,3,-0.05861266454060867,0.02269244898370239,-0.0787051916122436,-0.0340005159378051,-0.029153108596801702,-0.050815883263533,0.03962194762194757
full_mahalanobis_ood,3,-0.0930844942728678,0.07485889967589324,-0.1780450344085693,-0.0368152856826782,-0.05171786248683923,0.029337973351893403,0.07956454756454756
ridge_risk,3,-0.12328755855560301,0.03600678462078584,-0.162583589553833,-0.0918771028518676,-0.12102228403091424,-0.22743482973931886,0.11631446431446428
PARR_rank,3,-0.1552404959996541,0.1309521199372189,-0.271533727645874,-0.0133957862854003,-0.12404618660608924,-0.25892858771435084,0.14771276371276368
