dataset,method,val_spearman,test_spearman,top25,auc
Traffic,gbdt_risk,-0.8428207820155482,-0.6845710627733087,0.3594246506690979,0.3143184334039688
Traffic,knn_q90_risk,-0.5567871043905668,-0.5043494046062443,0.30607694387435913,0.25972670316696167
Traffic,knn_mean_risk,-0.5850735383359184,-0.5200162171767527,0.2862311005592346,0.2537280023097992
Traffic,full_ridge_risk,-0.5258835755343021,-0.5426727146727147,0.2767210006713867,0.26098282635211945
Traffic,ridge_risk,-0.3469440437761751,-0.3643765363765364,0.2610780596733093,0.21091629564762115
Traffic,PARR_full_rank,-0.3446378265513062,-0.35182980382980383,0.24741655588150024,0.20702897012233734
Traffic,sign_linear,-0.34460547442189765,-0.3452480132480133,0.2330966591835022,0.18901526927947998
Traffic,recent_volatility,-0.2093384373537494,-0.19613462813462815,0.20394670963287354,0.15384724736213684
Traffic,single_channel,-0.2792369889479558,-0.25217883617883624,0.16567355394363403,0.12607285380363464
Traffic,single_spectral,-0.08102883611534445,-0.0866888306888307,0.15230846405029297,0.11216649413108826
Traffic,mlp_risk,0.011498541994167976,-0.12175717375717376,0.1255652904510498,0.08900253474712372
Traffic,last_jump,-0.3964508658034631,-0.31034432234432235,0.12014001607894897,0.12521106004714966
Traffic,shapelet_style_highrisk_distance,-0.46277820311281237,-0.268986724986725,0.11890125274658203,0.05257083475589752
Traffic,channel_dispersion,-0.18141509366037464,-0.19688072888072888,0.11405068635940552,0.09005077183246613
Traffic,single_smooth,-0.17401548006192025,-0.22685937485937485,0.09818154573440552,0.07263593375682831
Traffic,energy_style_ood,0.0245313621254485,0.024140100140100144,0.08031201362609863,0.0484161376953125
Traffic,full_mahalanobis_ood,-0.14495001980007918,0.013384009384009386,0.07969063520431519,0.05467285215854645
Traffic,pca_reconstruction_ood,-0.19767995871983485,-0.11463293463293463,0.07186359167098999,0.0564374178647995
Traffic,level_shift,-0.06702458809835239,-0.09634117234117234,0.059692561626434326,0.04008057713508606
Traffic,variance,-0.059111756447025786,-0.07355460155460156,0.05851024389266968,0.06086838245391846
Traffic,trend_shift,-0.031925887703550815,-0.027967419967419964,0.0545274019241333,0.03012131154537201
Traffic,single_period,-0.0770529391025491,-0.0853961676920801,0.04422217607498169,0.03793114423751831
Traffic,rolling_volatility,-0.1695507902031608,-0.13755203355203355,0.04257255792617798,0.03208473324775696
Traffic,amplitude,-0.18372803091212364,-0.1144966864966865,0.03465414047241211,0.021303370594978333
Traffic,fixed_formula,0.005519254077016308,-0.010743850743850746,-0.03475677967071533,-0.06337174773216248
Traffic,dynamics_disagreement_proxy,0.15811176844707375,0.1348142428142428,-0.06899690628051758,-0.04514534771442413
Traffic,mahalanobis_ood,0.14038040152160608,0.18154990954990954,-0.06971025466918945,-0.04702562093734741
