dataset,seed,backbone,n_train,n_val,n_test,d_model,d_ff,e_layers,n_heads,patch_len,stride,backbone_val_mse,backbone_test_mse,best_epoch,scorer,val_spearman,test_spearman,top25_reduction,risk_coverage_auc,selected_hard,parr_neg_pool,strong_neg_count,elapsed_sec
Traffic,13,PatchTST-full,12147,1735,3471,512,512,2,8,16,8,0.4212477505207062,0.4749722480773926,3,mlp_risk,-0.8727689969184443,0.02556712827362302,0.0478510856628418,0.040336161851882935,False,"fixed_formula,single_period,single_spectral,sign_linear,ridge_risk,single_smooth,single_channel",23,2574.4908971999976
Traffic,13,PatchTST-full,12147,1735,3471,512,512,2,8,16,8,0.4212477505207062,0.4749722480773926,3,mahalanobis_ood,-0.05088198095242997,0.06258255090282941,0.014312803745269775,0.01030018925666809,False,"fixed_formula,single_period,single_spectral,sign_linear,ridge_risk,single_smooth,single_channel",23,2574.4908971999976
Traffic,13,PatchTST-full,12147,1735,3471,512,512,2,8,16,8,0.4212477505207062,0.4749722480773926,3,random,,0.00032730132409149887,0.005093812942504883,-0.0021366775035858154,False,"fixed_formula,single_period,single_spectral,sign_linear,ridge_risk,single_smooth,single_channel",23,2574.4908971999976
Traffic,13,PatchTST-full,12147,1735,3471,512,512,2,8,16,8,0.4212477505207062,0.4749722480773926,3,pca_reconstruction_ood,-0.033964314170620645,0.04128132887634148,-0.005446195602416992,0.004277944564819336,False,"fixed_formula,single_period,single_spectral,sign_linear,ridge_risk,single_smooth,single_channel",23,2574.4908971999976
Traffic,13,PatchTST-full,12147,1735,3471,512,512,2,8,16,8,0.4212477505207062,0.4749722480773926,3,full_mahalanobis_ood,-0.06850584275072971,0.12206772113336743,-0.012988567352294922,-0.002933591604232788,False,"fixed_formula,single_period,single_spectral,sign_linear,ridge_risk,single_smooth,single_channel",23,2574.4908971999976
Traffic,13,PatchTST-full,12147,1735,3471,512,512,2,8,16,8,0.4212477505207062,0.4749722480773926,3,PARR_rank,-0.3803881260273058,0.126752454056885,-0.02681410312652588,-0.006095826625823975,False,"fixed_formula,single_period,single_spectral,sign_linear,ridge_risk,single_smooth,single_channel",23,2574.4908971999976
Traffic,13,PatchTST-full,12147,1735,3471,512,512,2,8,16,8,0.4212477505207062,0.4749722480773926,3,ridge_risk,-0.38162694045896195,0.12673803789061375,-0.030333518981933594,-0.010189235210418701,False,"fixed_formula,single_period,single_spectral,sign_linear,ridge_risk,single_smooth,single_channel",23,2574.4908971999976
Traffic,13,PatchTST-full,12147,1735,3471,512,512,2,8,16,8,0.4212477505207062,0.4749722480773926,3,knn_mean_risk,-0.6571403234803038,0.15515774666888776,-0.03718554973602295,-0.0379503071308136,False,"fixed_formula,single_period,single_spectral,sign_linear,ridge_risk,single_smooth,single_channel",23,2574.4908971999976
Traffic,13,PatchTST-full,12147,1735,3471,512,512,2,8,16,8,0.4212477505207062,0.4749722480773926,3,knn_q90_risk,-0.4072448476685718,0.11310116015663671,-0.07253074645996094,-0.03850558400154114,False,"fixed_formula,single_period,single_spectral,sign_linear,ridge_risk,single_smooth,single_channel",23,2574.4908971999976
Traffic,13,PatchTST-full,12147,1735,3471,512,512,2,8,16,8,0.4212477505207062,0.4749722480773926,3,full_ridge_risk,-0.6047655687400049,0.23576239096723273,-0.09520459175109863,-0.07389086484909058,False,"fixed_formula,single_period,single_spectral,sign_linear,ridge_risk,single_smooth,single_channel",23,2574.4908971999976
Traffic,13,PatchTST-full,12147,1735,3471,512,512,2,8,16,8,0.4212477505207062,0.4749722480773926,3,gbdt_risk,-0.8898290563958325,0.1262721914728523,-0.09756004810333252,-0.11296612024307251,False,"fixed_formula,single_period,single_spectral,sign_linear,ridge_risk,single_smooth,single_channel",23,2574.4908971999976
Traffic,13,PatchTST-full,12147,1735,3471,512,512,2,8,16,8,0.4212477505207062,0.4749722480773926,3,PARR_plus_strong_rank,-0.7496523502083573,0.2281789718460692,-0.10028982162475586,-0.08272650837898254,False,"fixed_formula,single_period,single_spectral,sign_linear,ridge_risk,single_smooth,single_channel",23,2574.4908971999976
